"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 30 11:35:49 GMT 2022","Wed Mar 30 11:35:49 GMT 2022","31","tests.tagging_ui","test_ticket_source","","","","test_ticket_source_name",""
"passed","Wed Mar 30 11:35:49 GMT 2022","Wed Mar 30 11:35:50 GMT 2022","37","tests.tagging_ui","test_ticket_source","","","","test_category_models_select",""
"passed","Wed Mar 30 11:35:50 GMT 2022","Wed Mar 30 11:35:50 GMT 2022","16","tests.tagging_ui","test_ticket_source","","","","test_issue_model_link",""
"passed","Wed Mar 30 11:35:56 GMT 2022","Wed Mar 30 11:35:57 GMT 2022","168","tests.tagging_ui.tagging_tickets","test_tickets_view","","","","test_ticket_issue_confidence[first]",""
"passed","Wed Mar 30 11:35:56 GMT 2022","Wed Mar 30 11:35:56 GMT 2022","18","tests.tagging_ui.tagging_tickets","test_tickets_view","","","","test_ticket_subject[first]",""
"passed","Wed Mar 30 11:35:37 GMT 2022","Wed Mar 30 11:35:37 GMT 2022","23","tests.tagging_ui","test_landing_page","","","","test_check_page_title",""
"passed","Wed Mar 30 11:35:56 GMT 2022","Wed Mar 30 11:35:56 GMT 2022","33","tests.tagging_ui.tagging_tickets","test_tickets_view","","","","test_ticket_id[second]",""
"passed","Wed Mar 30 11:35:54 GMT 2022","Wed Mar 30 11:35:54 GMT 2022","326","tests.tagging_ui.tagging_tickets","test_keyboard_navigation","","","","test_navigate_to_the_third_ticket_by_tab",""
"passed","Wed Mar 30 11:35:51 GMT 2022","Wed Mar 30 11:35:51 GMT 2022","13","tests.tagging_ui.tagging_tickets","test_default_selection","","","","test_second_tag_row_is_inactive",""
"passed","Wed Mar 30 11:35:37 GMT 2022","Wed Mar 30 11:35:37 GMT 2022","64","tests.tagging_ui","test_data_sources","","","","test_check_organization_with_ticket_sources",""
"passed","Wed Mar 30 11:35:58 GMT 2022","Wed Mar 30 11:35:58 GMT 2022","11","tests.tagging_ui.tagging_window_controls","test_add_filter","","","","test_create_tagging_window_filter_req",""
"passed","Wed Mar 30 11:35:51 GMT 2022","Wed Mar 30 11:35:51 GMT 2022","78","tests.tagging_ui","test_ticket_source_selects","","","","test_change_issue_model_link",""
"passed","Wed Mar 30 11:35:37 GMT 2022","Wed Mar 30 11:35:37 GMT 2022","49","tests.tagging_ui","test_data_sources","","","","test_check_organization_names",""
"passed","Wed Mar 30 11:36:08 GMT 2022","Wed Mar 30 11:36:09 GMT 2022","1142","tests.tagging_ui.tagging_window_controls","test_update_filter","","","","test_update_filter_value_request",""
